Fecha;"Venta
(unidades)"
01/01/2018; 5,406 
01/02/2018; 6,283 
01/03/2018; 6,954 
01/04/2018; 6,016 
01/05/2018; 7,248 
01/06/2018; 6,443 
01/07/2018; 6,479 
01/08/2018; 6,636 
01/09/2018; 6,045 
01/10/2018; 7,341 
01/11/2018; 6,998 
01/12/2018; 8,216 
01/01/2019; 7,306 
01/02/2019; 6,091 
01/03/2019; 7,151 
01/04/2019; 7,864 
01/05/2019; 7,580 
01/06/2019; 7,586 
01/07/2019; 8,426 
01/08/2019; 8,662 
01/09/2019; 7,259 
01/10/2019; 8,067 
01/11/2019; 8,229 
01/12/2019; 9,437 
01/01/2020; 8,356 
01/02/2020; 8,205 
01/03/2020; 5,294 
01/04/2020; 480 
01/05/2020; 556 
01/06/2020; 1,263 
01/07/2020; 1,707 
01/08/2020; 2,086 
01/09/2020; 4,948 
